Protein name,RNA name
TMEM173,TMEM173
CD3E,CD3E
CD3,CD3/CD3D/CD3E/CD3G
CD3-1,CD3-1/CD3D/CD3E/CD3G
CD3-2,CD3-2/CD3D/CD3E/CD3G
KRT5,KRT5
PECAM1,PECAM1
CD31,CD31/PECAM1
CD21,CD21/CR2
CR2,CR2
PCNA,PCNA
Vimentin,VIM/Vimentin
VIM,VIM/Vimentin
ITGAX,ITGAX
CD11c,CD11c/ITGAX
CD20,CD20/MS4A1
MS4A1,MS4A1
CD185,CD185/CXCR5
CXCR5,CXCR5
CD278,CD278/ICOS
CD278-ICOS,CD278-ICOS/ICOS
ICOS,ICOS
PAX5,PAX5
SDC1,SDC1
CD138,CD138/SDC1
CD138-1,CD138-1/SDC1
CD138-2,CD138-2/SDC1
CD80,CD80
CD86,CD86
CD274,CD274
PDCD1,PDCD1
CD273,CD273/PDCD1LG2
CD275,CD275/ICOSLG
CD275-1,CD275-1/ICOSLG
CD275-2,CD275-2/ICOSLG
CD11b,CD11b/ITGAM
CD11b-1,CD11b-1/ITGAM
CD11b-2,CD11b-2/ITGAM
ITGAM,ITGAM
Galectin-9,Galectin-9/LGALS9/LGALS9B/LGALS9C
CD270,CD270/TNFRSF14/TNFRSF14-AS1
CD252,CD252/TNFRSF4
CD155,CD155/PVR
CD112,CD112/NECTIN2
CD47,CD47
CD70,CD70
CD30,CD30/TNFRSF8
CD48,CD48
CD40,CD40
CD154,CD154/CD40LG
CD52,CD52
CD4,CD4
CD4-1,CD4/CD4-1
CD4-2,CD4/CD4-2
CD8a,CD8A/CD8B
CD8,CD8/CD8A/CD8B
CD56,CD56/NCAM1
CD56-1,CD56-1/NCAM1
CD56-2,CD56-2/NCAM1
CD45,CD45/PTPRC/PTPRCAP
CD45-1,CD45-1/PTPRC/PTPRCAP
CD45-2,CD45-2/PTPRC/PTPRCAP
PTPRC,PTPRC
CD19,CD19
CD34,CD34
CD269,CD269/TNFRSF17
Cd90,CD90/THY1
CD117,CD117/KIT
CD45RA,CD45RA/PTPRC/PTPRCAP
CD123,CD123/IL3RA
CD105,CD105/ENG
CD201,CD201/PROCR
CD194,CCR4/CD194
CD44,CD44/CD44-AS1
CD44-1,CD44/CD44-1/CD44-AS1
CD44-2,CD44/CD44-2/CD44-AS1
CD14,CD14
CD25,CD25/IL2RA
CD45RO,CD45RO/PTPRC/PTPRCAP
CD279,CD279/PDCD1
TIGIT,TIGIT
CD335,CD335/NCR1
CD294,CD294/PTGDR2
CD133,CD133/PROM1
CD133-1,CD133-1/PROM1
CD133-2,CD133-2/PROM1
Podoplanin,PDPN/Podoplanin
CD140a,CD140a/PDGFRA
CD140b,CD140b/PDGFRB
CD340,CD340/ERBB2
CD146,CD146/MCAM
CD324,CD324/CDH1
IgM,CD40LG/IGM
TCR,TCR/TRAC
TCR-1,TCR-1/TRAC
TCR-2,TCR-2/TRAC
CD195,CCR5/CD195
CD196,CCR6/CD196
CD103,CD103/ITGAE
CD69,CD69
CD152,CD152/CTLA4
CD223,CD223/LAG3
CD27,CD27
CD107a,CD107a/LAMP1
CD95,CD95/FAS
CD134,CD134/TNFRSF4
HLADR,HLA-DRA/HLA-DRB1/HLA-DRB3/HLADR
HLA-DR,HLA-DR/HLA-DRA/HLA-DRB1/HLA-DRB3
HLA-DRA,HLA-DRA
